timestamp,target_name,target_ip,rtt_ms,is_lost,network_type
2026-09-06 22:37:23,Google_VN,8.8.8.8,52.02,0,Mobile_Good_Signal_Night
2026-09-06 22:37:23,OpenDNS_Global,208.67.222.222,72.15,0,Mobile_Good_Signal_Night
2026-09-06 22:37:25,Cloudflare_VN,1.1.1.1,39.44,0,Mobile_Good_Signal_Night
2026-09-06 22:37:25,Google_VN,8.8.8.8,37.28,0,Mobile_Good_Signal_Night
2026-09-06 22:37:26,OpenDNS_Global,208.67.222.222,66.89,0,Mobile_Good_Signal_Night
2026-09-06 22:37:27,Cloudflare_VN,1.1.1.1,35.86,0,Mobile_Good_Signal_Night
2026-09-06 22:37:28,Google_VN,8.8.8.8,49.94,0,Mobile_Good_Signal_Night
2026-09-06 22:37:28,OpenDNS_Global,208.67.222.222,89.33,0,Mobile_Good_Signal_Night
2026-09-06 22:37:30,Cloudflare_VN,1.1.1.1,35.74,0,Mobile_Good_Signal_Night
2026-09-06 22:37:31,Google_VN,8.8.8.8,40.46,0,Mobile_Good_Signal_Night
2026-09-06 22:37:31,OpenDNS_Global,208.67.222.222,85.66,0,Mobile_Good_Signal_Night
2026-09-06 22:37:33,Cloudflare_VN,1.1.1.1,35.52,0,Mobile_Good_Signal_Night
2026-09-06 22:37:33,Google_VN,8.8.8.8,60.6,0,Mobile_Good_Signal_Night
2026-09-06 22:37:34,OpenDNS_Global,208.67.222.222,86.76,0,Mobile_Good_Signal_Night
2026-09-06 22:37:35,Cloudflare_VN,1.1.1.1,40.54,0,Mobile_Good_Signal_Night
2026-09-06 22:37:36,Google_VN,8.8.8.8,40.85,0,Mobile_Good_Signal_Night
2026-09-06 22:37:36,OpenDNS_Global,208.67.222.222,77.71,0,Mobile_Good_Signal_Night
2026-09-06 22:37:38,Cloudflare_VN,1.1.1.1,37.11,0,Mobile_Good_Signal_Night
2026-09-06 22:37:39,Google_VN,8.8.8.8,54.75,0,Mobile_Good_Signal_Night
2026-09-06 22:37:39,OpenDNS_Global,208.67.222.222,78.46,0,Mobile_Good_Signal_Night
2026-09-06 22:37:41,Cloudflare_VN,1.1.1.1,37.17,0,Mobile_Good_Signal_Night
2026-09-06 22:37:41,Google_VN,8.8.8.8,70.74,0,Mobile_Good_Signal_Night
2026-09-06 22:37:42,OpenDNS_Global,208.67.222.222,86.28,0,Mobile_Good_Signal_Night
2026-09-06 22:37:43,Cloudflare_VN,1.1.1.1,36.83,0,Mobile_Good_Signal_Night
2026-09-06 22:37:44,Google_VN,8.8.8.8,40.31,0,Mobile_Good_Signal_Night
2026-09-06 22:37:45,OpenDNS_Global,208.67.222.222,85.67,0,Mobile_Good_Signal_Night
2026-09-06 22:37:46,Cloudflare_VN,1.1.1.1,38.2,0,Mobile_Good_Signal_Night
2026-09-06 22:37:47,Google_VN,8.8.8.8,49.52,0,Mobile_Good_Signal_Night
2026-09-06 22:37:47,OpenDNS_Global,208.67.222.222,86.48,0,Mobile_Good_Signal_Night
2026-09-06 22:37:49,Cloudflare_VN,1.1.1.1,35.73,0,Mobile_Good_Signal_Night
2026-09-06 22:37:49,Google_VN,8.8.8.8,54.55,0,Mobile_Good_Signal_Night
2026-09-06 22:37:50,OpenDNS_Global,208.67.222.222,88.66,0,Mobile_Good_Signal_Night
